epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2812.19,1.12903,0.93253,1.00587,0.59273,0.38705,0.42143,0.25625,1.34988,1.22774,1.12147,0.00017032,0.00017032,0.00017032
60,2859.35,1.11544,0.91891,1.00473,0.57921,0.39883,0.42337,0.25548,1.31049,1.201,1.10565,0.00016636,0.00016636,0.00016636
61,2907.59,1.11572,0.91314,1.00194,0.61092,0.37451,0.42917,0.25502,1.31365,1.19132,1.10355,0.0001624,0.0001624,0.0001624
62,2955.66,1.11392,0.90676,1.00186,0.61122,0.40219,0.42166,0.25448,1.31607,1.22191,1.10726,0.00015844,0.00015844,0.00015844
63,3005.46,1.10148,0.89965,0.9993,0.52795,0.45477,0.41687,0.24561,1.31985,1.2161,1.10469,0.00015448,0.00015448,0.00015448
64,3052.63,1.10839,0.89379,0.99775,0.59867,0.40759,0.41004,0.24546,1.32496,1.21378,1.10704,0.00015052,0.00015052,0.00015052
65,3100.1,1.10022,0.88793,0.99743,0.58008,0.39102,0.42515,0.25716,1.31729,1.18229,1.10582,0.00014656,0.00014656,0.00014656
66,3147.41,1.09306,0.87693,0.99409,0.57501,0.38322,0.39674,0.23464,1.33444,1.2197,1.11343,0.0001426,0.0001426,0.0001426
67,3195.43,1.11178,0.88287,0.99657,0.62177,0.39969,0.41517,0.24934,1.33036,1.21463,1.10992,0.00013864,0.00013864,0.00013864
68,3243.96,1.09729,0.87897,0.99412,0.59421,0.41499,0.4341,0.26082,1.34375,1.20642,1.11135,0.00013468,0.00013468,0.00013468
69,3291.39,1.09445,0.8764,0.99247,0.57983,0.42117,0.43792,0.26103,1.33036,1.22509,1.10829,0.00013072,0.00013072,0.00013072
70,3339.15,1.09587,0.87116,0.9923,0.58191,0.41921,0.41793,0.24981,1.31897,1.21495,1.10825,0.00012676,0.00012676,0.00012676
71,3387.04,1.0875,0.87743,0.99359,0.63705,0.39252,0.42372,0.25453,1.31801,1.2235,1.10588,0.0001228,0.0001228,0.0001228
72,3435.47,1.08356,0.8601,0.98834,0.59405,0.39906,0.39868,0.24129,1.32537,1.21153,1.10344,0.00011884,0.00011884,0.00011884
73,3483.97,1.07831,0.85362,0.98675,0.52809,0.44715,0.43231,0.26187,1.33467,1.22469,1.1089,0.00011488,0.00011488,0.00011488
74,3532.04,1.09054,0.85911,0.99154,0.57256,0.42893,0.42957,0.26348,1.30925,1.19668,1.1034,0.00011092,0.00011092,0.00011092
75,3579.99,1.09097,0.86214,0.99475,0.60157,0.37246,0.42348,0.26261,1.32061,1.21909,1.1059,0.00010696,0.00010696,0.00010696
76,3627.03,1.08147,0.85011,0.98601,0.58379,0.39582,0.42242,0.26035,1.32519,1.21131,1.10491,0.000103,0.000103,0.000103
77,3677.69,1.06588,0.83239,0.98303,0.64133,0.37776,0.44831,0.26468,1.32768,1.2002,1.10975,9.904e-05,9.904e-05,9.904e-05
78,3727.14,1.07575,0.83895,0.98366,0.6128,0.39559,0.43734,0.26371,1.32639,1.19557,1.1051,9.508e-05,9.508e-05,9.508e-05
79,3775.63,1.07155,0.83572,0.98618,0.61691,0.39719,0.44514,0.26544,1.33754,1.20842,1.11413,9.112e-05,9.112e-05,9.112e-05
80,3825.35,1.07057,0.83926,0.98528,0.61298,0.41354,0.4346,0.2648,1.33227,1.20834,1.1071,8.716e-05,8.716e-05,8.716e-05
81,3873.11,1.06873,0.83437,0.98382,0.58263,0.40161,0.4444,0.26181,1.33111,1.20512,1.10851,8.32e-05,8.32e-05,8.32e-05
82,3920.76,1.05254,0.81562,0.97747,0.61585,0.39568,0.44703,0.26998,1.32041,1.2098,1.10367,7.924e-05,7.924e-05,7.924e-05
83,3968.19,1.06414,0.82216,0.97843,0.59285,0.4086,0.4413,0.26739,1.32222,1.20744,1.10434,7.528e-05,7.528e-05,7.528e-05
84,4016.94,1.06515,0.8173,0.98043,0.60739,0.41859,0.43603,0.2659,1.33015,1.21352,1.11535,7.132e-05,7.132e-05,7.132e-05
85,4066.17,1.05724,0.80971,0.97328,0.60788,0.39406,0.4366,0.26037,1.33601,1.23018,1.11813,6.736e-05,6.736e-05,6.736e-05
86,4114.72,1.05971,0.81893,0.98202,0.60534,0.39079,0.43914,0.26666,1.32417,1.21596,1.11248,6.34e-05,6.34e-05,6.34e-05
87,4163.19,1.03887,0.80388,0.9777,0.61088,0.40411,0.43441,0.26085,1.33086,1.21376,1.11408,5.944e-05,5.944e-05,5.944e-05
88,4210.96,1.0573,0.80854,0.97993,0.63572,0.40777,0.4409,0.26012,1.32834,1.19682,1.11123,5.548e-05,5.548e-05,5.548e-05
89,4259.94,1.06021,0.8129,0.97909,0.58626,0.39836,0.43857,0.26249,1.33534,1.19699,1.11904,5.152e-05,5.152e-05,5.152e-05
90,4308.32,1.04321,0.8066,0.97186,0.56916,0.40872,0.43412,0.25638,1.32846,1.20355,1.10933,4.756e-05,4.756e-05,4.756e-05
91,4356.87,1.05779,0.77885,0.96939,0.56629,0.39278,0.41226,0.24641,1.36815,1.25724,1.13207,4.36e-05,4.36e-05,4.36e-05
92,4403.56,1.02385,0.74229,0.95674,0.5545,0.42997,0.43413,0.2522,1.35532,1.23978,1.12406,3.964e-05,3.964e-05,3.964e-05
93,4450.37,1.02462,0.73721,0.95222,0.58465,0.42901,0.42043,0.24416,1.3515,1.25048,1.12293,3.568e-05,3.568e-05,3.568e-05
94,4496.9,1.01512,0.7239,0.95245,0.58435,0.41335,0.41907,0.24248,1.34402,1.23229,1.11851,3.172e-05,3.172e-05,3.172e-05
95,4542.63,1.01331,0.72859,0.95193,0.54888,0.43792,0.41963,0.24401,1.3458,1.23052,1.11888,2.776e-05,2.776e-05,2.776e-05
96,4588.64,1.01061,0.72089,0.95512,0.57147,0.41717,0.43477,0.2539,1.35528,1.22692,1.12343,2.38e-05,2.38e-05,2.38e-05
97,4634.82,1.00754,0.71641,0.95126,0.57067,0.41645,0.43381,0.2557,1.34364,1.23066,1.12051,1.984e-05,1.984e-05,1.984e-05
98,4680.78,1.0039,0.71505,0.95026,0.57077,0.41535,0.43693,0.25802,1.33625,1.23092,1.11457,1.588e-05,1.588e-05,1.588e-05
99,4726.87,0.99915,0.70583,0.94662,0.57757,0.40499,0.43606,0.25664,1.34548,1.22814,1.11758,1.192e-05,1.192e-05,1.192e-05
100,4771.97,1.01337,0.71717,0.95381,0.57314,0.40817,0.43942,0.25542,1.34473,1.23726,1.11744,7.96e-06,7.96e-06,7.96e-06
